"Season","Week","Tm_ID","Opp_ID","Loc","Result","Notes","Date","Playoff","Tm_score","Opp_score","Opp_Div","Score_diff","Win","Cal_Week","Multi_Week","Excl_Harbin","Excl_Elo","Opp_Reg","nonOHSAA","nonOHSAA_div","Tm_lon","Tm_lat","Opp_lon","Opp_lat","trav_est"
"2013",4,"10085","1618","A","L","",2013-09-20,0,39,47,1,-8,0,"37",NA,0,0,"13",0,NA,NA,NA,NA,NA,NA
"2013",5,"10085","10121","A","L","",2013-09-27,0,14,56,1,-42,0,"38",NA,0,0,"",1,"1",NA,NA,NA,NA,NA
"2013",7,"10085","10052","A","W","",2013-10-11,0,42,32,1,10,1,"40",NA,0,0,"0",1,"3",NA,NA,NA,NA,NA
"2013",8,"10085","10007","A","L","",2013-10-18,0,28,41,1,-13,0,"41",NA,0,0,"0",1,"3",NA,NA,NA,NA,NA
"2013",9,"10085","10035","H","L","",2013-10-25,0,20,27,1,-7,0,"42",NA,0,0,"",1,"1",NA,NA,NA,NA,NA
"2013",10,"10085","10130","A","L","",2013-11-01,0,0,62,1,-62,0,"43",NA,0,0,"0",1,"1",NA,NA,NA,NA,NA
"2013",11,"10085","10083","H","L*","",2013-11-08,0,26,35,1,-9,0,"44",NA,1,0,"0",1,"1",NA,NA,NA,NA,NA
"2013",1,"10123","10040","H","W","",2013-08-30,0,41,8,7,33,1,"34",NA,0,0,"0",1,"7",NA,NA,NA,NA,NA
"2013",2,"10123","10013","H","L","",2013-09-06,0,9,26,7,-17,0,"35",NA,0,0,"0",1,"7",NA,NA,NA,NA,NA
"2013",3,"10123","10045","H","W*","forfeit",2013-09-14,0,1,0,7,1,1,"36",NA,1,1,"0",1,"7",NA,NA,NA,NA,NA
"2013",4,"10123","10078","A","L","",2013-09-20,0,22,32,7,-10,0,"37",NA,0,0,"0",1,"7",NA,NA,NA,NA,NA
"2013",6,"10123","10018","A","L","",2013-10-07,0,22,45,7,-23,0,"39",NA,0,0,"0",1,"7",NA,NA,NA,NA,NA
"2013",7,"10123","1362","A","W","",2013-10-12,0,26,0,7,26,1,"40",NA,0,0,"25",0,NA,NA,NA,NA,NA,NA
