OHSAA.ID,DoE_IRN,School District,Status,Total,Male%,HS_Students,OHSAA_Est,nonWhite%,EconDis%, Cost ,Direction,FootballTwitter,Census_GeoID,Median Inc,Total POP,Urban,Suburban,Rural
286,4143,Buckeye Valley Local,Open,2212,52.50%,737,298,8.00%,21.00%,,28 miles north of downtown Columbus,@BVBaronFootball,3904675," $75,107 ",6371,12.9%,0.0%,87.1%
290,4184,Bucyrus City,Open,1258,53.50%,336,142,9.50%,65.00%,,60 miles north of downtown Columbus,,3904368," $37,048 ",5247,0.0%,99.2%,0.8%
292,4416,Vandalia-Butler City,Open,2935,51.70%,924,372,20.00%,28.60%,,10 miles north of downtown Dayton,,3904495," $59,936 ",10877,91.0%,0.0%,9.0%
294,4507,Harrison Hills City,Open,1509,48.30%,413,149,6.70%,50.40%,,43 miles southeast of downtown Canton,@HC_Football__,3904524," $44,358 ",7160,0.0%,17.0%,83.0%
296,4556,Caldwell Exempted Village,Open,826,48.30%,188,72,2.40%,44.40%,,74 miles south of downtown Canton,,3904525," $37,852 ",2907,0.0%,45.6%,54.4%
298,NA,Private,Open,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"$6,400 ",43 miles southeast of downtown Toledo,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
300,4622,Cambridge City,Open,1888,51.60%,469,187,6.70%,56.50%,,54 miles south of downtown Canton,@CHSBobcatFB,3904369," $34,883 ",7812,0.0%,78.6%,21.4%
302,4770,Canal Winchester Local,Open,3785,52.30%,1126,448,36.60%,30.40%,,14 miles southeast of downtown Columbus,@CWIndiansFball,3904694," $78,509 ",6746,82.2%,0.0%,17.8%
304,4796,Canfield Local,Open,2640,51.30%,907,339,9.10%,9.50%,,10 miles southwest of downtown Youngstown,,3904831," $72,140 ",7941,84.1%,0.0%,15.9%
306,23846,Canton City,Open,8634,50.60%,2490,926,58.10%,100.00%,,3 miles northwest of downtown Canton,@McKFootballPro,3904371," $29,501 ",29994,100.0%,0.0%,0.0%
308,4853,Cardinal Local,Open,962,51.40%,317,118,4.50%,40.50%,,34 miles east of downtown Cleveland,@huskies_fb,3904717," $49,808 ",4912,0.0%,29.7%,70.3%
310,NA,Private,Open,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"$8,050 ",3 miles south of downtown Youngstown,@mooneyfootball,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
