"","Season","Week",""
"1359",2017,1,0.13
"1378",2017,1,0.09
"1494",2017,1,0.02
"1536",2017,1,0.23
"1556",2017,1,0.08
"1654",2017,1,0.04
"1716",2017,1,0.08
"1751",2017,1,0.02
"7974",2017,1,0.01
"126",2017,1,0
"128",2017,1,0
"136",2017,1,0.08
"154",2017,1,0.62
"278",2017,1,0
"298",2017,1,0.4
"343",2017,1,0.04
"424",2017,1,0.01
"432",2017,1,0.11
"452",2017,1,0.07
"512",2017,1,0.01
"520",2017,1,0.08
"722",2017,1,0.03
"726",2017,1,0
"732",2017,1,0.05
"854",2017,1,0.08
"990",2017,1,0.31
"1060",2017,1,0.07
"1064",2017,1,0.07
"1130",2017,1,0.02
"1228",2017,1,0.03
"1370",2017,1,0.06
"1372",2017,1,0.13
"1374",2017,1,0.5
"1446",2017,1,0.01
"1594",2017,1,0
"1646",2017,1,0
"172",2017,1,0.08
"204",2017,1,0.01
"222",2017,1,0.17
"296",2017,1,0.06
"314",2017,1,0.04
"454",2017,1,0.47
"484",2017,1,0.27
"494",2017,1,0.03
"553",2017,1,0
"594",2017,1,0
"618",2017,1,0.01
"668",2017,1,0.01
"681",2017,1,0.01
"908",2017,1,0.89
"938",2017,1,0.12
"1036",2017,1,0.29
"1040",2017,1,0
"1063",2017,1,0.13
"1178",2017,1,0.03
"1262",2017,1,0
"1306",2017,1,0.41
"1453",2017,1,0.01
"1454",2017,1,0.2
"1514",2017,1,0.05
"1540",2017,1,0.23
"1628",2017,1,0.32
"1737",2017,1,0.8
"122",2017,1,0.04
"246",2017,1,0.01
"324",2017,1,0.08
"328",2017,1,0.02
"438",2017,1,0.62
"602",2017,1,0.38
"694",2017,1,0
"715",2017,1,0.88
"776",2017,1,0.05
"852",2017,1,0.6
"886",2017,1,0.12
"1023",2017,1,0
"1052",2017,1,0.07
"1054",2017,1,0
"1092",2017,1,0
"1104",2017,1,0.02
"1242",2017,1,0.01
"1298",2017,1,0
"1310",2017,1,0.31
"1358",2017,1,0.01
"1452",2017,1,0.05
"1538",2017,1,0.01
"1546",2017,1,0.03
"1576",2017,1,0.15
"1642",2017,1,0
"9272",2017,1,0.06
"9461",2017,1,0.01
"148",2017,2,0.14
"200",2017,2,0.01
"306",2017,2,0.4
"385",2017,2,0.33
"540",2017,2,0.14
"650",2017,2,0.08
"764",2017,2,0.07
"792",2017,2,0
"1016",2017,2,0.69
"1244",2017,2,0.31
"1292",2017,2,0.07
"1346",2017,2,0.41
"1354",2017,2,0.59
"1408",2017,2,0.04
"1428",2017,2,0.21
"1492",2017,2,0.44
"1498",2017,2,0
"268",2017,2,0
"474",2017,2,0.47
"486",2017,2,0.17
"532",2017,2,0
"586",2017,2,0.01
"704",2017,2,0.03
"876",2017,2,0.08
"894",2017,2,0.28
"970",2017,2,0.04
"1006",2017,2,0.08
"1088",2017,2,0.14
"1202",2017,2,0.22
"1203",2017,2,0.64
"1211",2017,2,0.14
"1482",2017,2,0.79
"1572",2017,2,0.3
"1671",2017,2,0.02
"1704",2017,2,0.37
"1738",2017,2,0
"178",2017,2,0
"336",2017,2,0.12
"345",2017,2,0
"680",2017,2,0
"682",2017,2,0.05
"713",2017,2,0.65
"716",2017,2,0.39
"717",2017,2,0.14
"807",2017,2,0.01
"838",2017,2,0
"1020",2017,2,0.39
"1142",2017,2,0.31
"1254",2017,2,0.61
"1255",2017,2,0.43
"1290",2017,2,0.02
"1480",2017,2,0.14
"1638",2017,2,0.85
"1686",2017,2,0
"396",2017,2,0.79
"522",2017,2,0.1
"550",2017,2,0.06
"685",2017,2,0.02
"836",2017,2,0.01
"837",2017,2,0.01
"846",2017,2,0.21
"972",2017,2,0.09
"1026",2017,2,0
"1034",2017,2,0.09
"1056",2017,2,0.14
"1188",2017,2,0
"1274",2017,2,0
"1388",2017,2,0.48
"1470",2017,2,0.27
"1508",2017,2,0.07
"1610",2017,2,0.02
"1666",2017,2,0.01
"1677",2017,2,0.07
"140",2017,2,0.01
"160",2017,2,0.27
"180",2017,2,0.41
"196",2017,2,0.08
"248",2017,2,0.02
"270",2017,2,0.04
"350",2017,2,0.15
"422",2017,2,0.07
"444",2017,2,0
"528",2017,2,0.2
"592",2017,2,0.05
"632",2017,2,0.38
"670",2017,2,0
"692",2017,2,0.66
"724",2017,2,0.41
"740",2017,2,0.38
"782",2017,2,0
"790",2017,2,0.02
"801",2017,2,0.04
"824",2017,2,0.04
"922",2017,2,0.05
"980",2017,2,0.22
"1116",2017,2,0
"1122",2017,2,0.17
"1312",2017,2,0.04
"1326",2017,2,0.02
"1440",2017,2,0.12
"1614",2017,2,0
"124",2017,2,0.43
"150",2017,2,0.57
"152",2017,2,0.02
"244",2017,2,0.08
"372",2017,2,0
"406",2017,2,0.01
"616",2017,2,0
"710",2017,2,0.27
"832",2017,2,0
"1030",2017,2,0.21
"1118",2017,2,0.02
"1146",2017,2,0.01
"1152",2017,2,0.02
"1154",2017,2,0
"1204",2017,2,0.21
"1232",2017,2,0.08
"1248",2017,2,0.17
"1350",2017,2,0
"1360",2017,2,0.05
"1476",2017,2,0.25
"1486",2017,2,0.03
"1510",2017,2,0.04
"1512",2017,2,0
"1588",2017,2,0.01
"1606",2017,2,0.19
"1608",2017,2,0.12
"1684",2017,2,0
"138",2017,2,0.29
"214",2017,2,0.11
"238",2017,2,0.25
"252",2017,2,0
"302",2017,2,0.01
"475",2017,2,0
"483",2017,2,0.01
"610",2017,2,0.18
"730",2017,2,0.05
"822",2017,2,0.11
"868",2017,2,0.47
