"","Season","Week","0","1","2","3","4","5","6"
"940",2017,1,0.55,0.27,0.07,0.08,0.02,0.01,0
"944",2017,1,0.65,0.23,0.09,0.01,0,0.01,0.01
"976",2017,1,0.87,0.09,0.01,0.02,0.01,0,0
"1160",2017,1,0.91,0.06,0.01,0.01,0.01,0,0
"1224",2017,1,0.46,0.17,0.19,0.07,0.07,0.02,0.02
"1240",2017,1,0.78,0.12,0.07,0.02,0.01,0,0
"1320",2017,1,0.43,0.43,0.1,0.03,0.01,0,0
"1324",2017,1,1,0,0,0,0,0,0
"1394",2017,1,0.38,0.24,0.19,0.11,0.05,0.01,0.02
"1398",2017,1,1,0,0,0,0,0,0
"1410",2017,1,0.9,0.06,0.03,0,0.01,0,0
"1571",2017,1,0.27,0.36,0.21,0.13,0.03,0,0
"1734",2017,1,0.97,0.03,0,0,0,0,0
"144",2017,1,0.77,0.2,0.03,0,0,0,0
"186",2017,1,0.35,0.41,0.13,0.08,0.02,0.01,0
"188",2017,1,0.63,0.15,0.13,0.07,0.02,0,0
"218",2017,1,0.11,0.13,0.16,0.2,0.21,0.07,0.12
"224",2017,1,0.89,0.07,0.01,0.01,0.02,0,0
"286",2017,1,0.62,0.25,0.1,0.01,0.02,0,0
"332",2017,1,1,0,0,0,0,0,0
"472",2017,1,0.5,0.25,0.13,0.05,0.04,0.02,0.01
"502",2017,1,0.71,0.16,0.1,0.02,0.01,0,0
"666",2017,1,0.7,0.19,0.09,0.02,0,0,0
"686",2017,1,0.64,0.19,0.09,0.08,0,0,0
"718",2017,1,0.99,0.01,0,0,0,0,0
"748",2017,1,0.74,0.18,0.06,0.01,0,0.01,0
"751",2017,1,0.93,0.07,0,0,0,0,0
"762",2017,1,0.47,0.34,0.16,0.02,0,0,0.01
"956",2017,1,0.99,0.01,0,0,0,0,0
"962",2017,1,0.5,0.29,0.16,0.03,0.01,0.01,0
"982",2017,1,0.93,0.06,0.01,0,0,0,0
"1022",2017,1,0.95,0.05,0,0,0,0,0
"1106",2017,1,0.43,0.27,0.18,0.07,0.05,0,0
"1348",2017,1,0.37,0.13,0.1,0.14,0.09,0.11,0.06
"1420",2017,1,0.7,0.17,0.09,0.03,0.01,0,0
"1436",2017,1,1,0,0,0,0,0,0
"1544",2017,1,0.21,0.33,0.25,0.15,0.03,0.02,0.01
"1618",2017,1,0.99,0.01,0,0,0,0,0
"1680",2017,1,0.96,0.04,0,0,0,0,0
"1750",2017,1,0.92,0.04,0.02,0.01,0,0.01,0
"132",2017,1,0.12,0.35,0.27,0.15,0.04,0.03,0.04
"158",2017,1,0.99,0,0,0,0.01,0,0
"184",2017,1,0.91,0.08,0,0.01,0,0,0
