X,nonOH_div,ST,School,Best.Name,Helm
2018_10562,NA,KY,Covington Catholic,Covington Catholic,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_CovingtonCatholic-2016.png"
2018_24556,NA,MO,Lutheran North,Lutheran North,
2018_9918,NA,OH,COF Academy,COF Academy,
2018_10040,NA,WV,Hannan,Hannan,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Hannan-2017_L.png"
2018_10132,NA,WV,Williamstown,Williamstown,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Williamstown(WV)_2016.png"
2018_25239,NA,ON,St Joan of Arc,St Joan of Arc,
2003_10659,NA,KY,Ludlow Panthers,Ludlow Panthers,
2006_9902,NA,OH,Main St Automotive Magnet,Main St Automotive Magnet,
2007_1061,NA,OH,Monclova Christian,Monclova Christian,
2009_10601,NA,KY,Gallatin County,Gallatin County,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_GallatinCounty-2016_L.png"
2011_13492,NA,IN,Southside,Southside,
2012_9990,NA,me,JV Opponent,JV Opponent,
2013_11756,NA,MI,Washtenaw Saints (Club),Washtenaw Saints,
2013_10747,NA,KY,South Floyd,South Floyd,
2016_11102,NA,MI,Camden-Frontier,Camden-Frontier,
2018_9911,NA,OH,Reigning Sports Academy (club) Thunder,Reigning Sports Academy Thunder,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/ReigningThunder-2016_L.png"
2018_10645,NA,KY,Lafayette,Lafayette,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Lafayette-2016.png"
2018_10060,NA,WV,Magnolia,Magnolia,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Magnolia-2017_L.png"
2018_9918,NA,OH,COF Academy,COF Academy,
2018_13167,NA,IN,Indianapolis Cathedral,Indianapolis Cathedral,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Cathedral-2016.png"
2018_17501,NA,NJ,The Hun School,The Hun School,
2018_10724,NA,KY,Raceland,Raceland,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Raceland-2016-1.png"
2018_15008,NA,NY,St Francis Red Raiders,St Francis,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_StFrancis-2016.png"
2018_17505,NA,NJ,Montclair,Montclair,
2018_10059,NA,WV,Madonna,Madonna,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/WeirtonMadonna-2017_L.png"
2018_10052,NA,WV,John Marshall,John Marshall,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x137/ohiohshelmets.webs.com/JohnMarshall-2014_L-1.png"
2018_10125,NA,WV,Wahama,Wahama,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Wahama-2017_L.png"
2018_12532,NA,PA,Cathedral Prep,Cathedral Prep,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_CathedralPrep-2016.png"
2018_12530,NA,PA,McDowell,McDowell,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_McDowell-2016.png"
2018_10082,NA,WV,Paden City,Paden City,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x137/ohiohshelmets.webs.com/PadenCity-2014_L.png"
2018_10626,NA,KY,Holy Cross (Covington),Covington Holy Cross,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_HolyCross-2016.png"
2018_12568,NA,PA,Iroquois,Iroquois,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Iroquois-2017_L.png"
2018_9900,NA,OH,Western Reserve Academy Pioneers,Western Reserve Academy,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/WRA-2017_L.png"
2018_10013,NA,WV,Cameron,Cameron,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Cameron-2014-L.png"
2018_10506,NA,KY,Ashland Blazer,Ashland Blazer,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Ashland-2016.png"
2018_10738,NA,KY,Scott County,Scott County,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_ScottCounty-2016.png"
2018_25237,NA,ON,Football North (via St Joseph),St Joseph,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_StJosephs-2016.png"
